"","Year","Month","Date","dSST3.4","ONI","ONI_month_window","phase"
"288",1973,"Dec",1973-12-01,-2.06,-2.03333333333333,"NDJ","Cool Phase/La Nina"
"289",1974,"Jan",1974-01-01,-1.95,-1.83666666666667,"DJF","Cool Phase/La Nina"
"290",1974,"Feb",1974-02-01,-1.5,-1.55333333333333,"JFM","Cool Phase/La Nina"
"291",1974,"Mar",1974-03-01,-1.21,-1.22666666666667,"FMA","Cool Phase/La Nina"
"292",1974,"Apr",1974-04-01,-0.97,-1.03,"MAM","Cool Phase/La Nina"
"293",1974,"May",1974-05-01,-0.91,-0.91,"AMJ","Cool Phase/La Nina"
"294",1974,"Jun",1974-06-01,-0.85,-0.77,"MJJ","Cool Phase/La Nina"
"295",1974,"Jul",1974-07-01,-0.55,-0.536666666666667,"JJA","Cool Phase/La Nina"
"296",1974,"Aug",1974-08-01,-0.21,-0.37,"JAS","Neutral Phase"
"297",1974,"Sep",1974-09-01,-0.35,-0.406666666666667,"ASO","Neutral Phase"
"298",1974,"Oct",1974-10-01,-0.66,-0.61,"SON","Cool Phase/La Nina"
"299",1974,"Nov",1974-11-01,-0.82,-0.753333333333333,"OND","Cool Phase/La Nina"
"300",1974,"Dec",1974-12-01,-0.78,-0.64,"NDJ","Cool Phase/La Nina"
